FUENTE: Base de datos de indicadores del Observatorio de Género en Educación Superior (PUCP)
HOJA: Indicador 2

Participación en campos académicos
Indicador 2: Selectividad de carreras masculinizadas y feminizadas por sexo
I2_a: Tasa de selectividad de grupos de programas masculinizados total
COLUMNAS: Indicador | Grupo de Programas | Clasificación | Nivel | Año | Tasa de selectividad total | Fuente
Indicador: I2_a | Grupo de Programas: Sistemas y Cómputo | Clasificación: Masculinizado | Nivel: PUCP | Año: 2023 | Tasa de selectividad total: 2.78 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Telecomunicaciones | Clasificación: Masculinizado | Nivel: PUCP | Año: 2023 | Tasa de selectividad total: 3.12 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Ciencias de la Tierra | Clasificación: Masculinizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 4.04 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Construcción e Ingeniería Civil | Clasificación: Masculinizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 2.1 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Electrónica y Automatización | Clasificación: Masculinizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 2.44 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Física | Clasificación: Masculinizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 1.65 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Matemática | Clasificación: Masculinizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 2.04 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Mecánica y Metalúrgica | Clasificación: Masculinizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 2.22 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Minería y Extracción | Clasificación: Masculinizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 2.9 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Sistemas y Cómputo | Clasificación: Masculinizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 1.99 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Telecomunicaciones | Clasificación: Masculinizado | Nivel: Perú | Año: 2024 | Tasa de selectividad total: 2.4 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Ciencias de la Tierra | Clasificación: Masculinizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 4.32 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Construcción e Ingeniería Civil | Clasificación: Masculinizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 3.03 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Electrónica y Automatización | Clasificación: Masculinizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 3.56 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Física | Clasificación: Masculinizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 2.69 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Matemática | Clasificación: Masculinizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 1.27 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Mecánica y Metalúrgica | Clasificación: Masculinizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 2.76 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Minería y Extracción | Clasificación: Masculinizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 4.32 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Sistemas y Cómputo | Clasificación: Masculinizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 3.15 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Telecomunicaciones | Clasificación: Masculinizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 3.29 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Ciencias de la Tierra | Clasificación: Masculinizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 5.64 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Física | Clasificación: Masculinizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 2.9 | Fuente: DTI
