FUENTE: Base de datos de indicadores del Observatorio de Género en Educación Superior (PUCP)
HOJA: Indicador 4

Acceso, permanencia y culminación
Indicador 4: Graduación de estudiantes, por sexo
I4_a: Porcentaje de graduados/as que son mujeres (bachiller)
I4_b: Porcentaje de graduados/as que son hombres (bachiller)
COLUMNAS: Nivel | Año | % Mujeres | % Hombres | Fuente
Nivel: OCDE | Año: 2021 | % Mujeres: 47.33 | % Hombres: 52.67 | Fuente: OCDE Data Explorer
Nivel: OCDE | Año: 2022 | % Mujeres: 48.78 | % Hombres: 51.22 | Fuente: OCDE Data Explorer
Nivel: OCDE | Año: 2023 | % Mujeres: 48.75 | % Hombres: 51.25 | Fuente: OCDE Data Explorer
Nivel: Unión Europea | Año: 2017 | % Mujeres: 50.13 | % Hombres: 49.87 | Fuente: OCDE Data Explorer
Nivel: Unión Europea | Año: 2018 | % Mujeres: 49.36 | % Hombres: 50.64 | Fuente: OCDE Data Explorer
Nivel: Unión Europea | Año: 2019 | % Mujeres: 49.75 | % Hombres: 50.25 | Fuente: OCDE Data Explorer
Nivel: Unión Europea | Año: 2020 | % Mujeres: 49.85 | % Hombres: 50.15 | Fuente: OCDE Data Explorer
Nivel: Unión Europea | Año: 2021 | % Mujeres: 49.27 | % Hombres: 50.73 | Fuente: OCDE Data Explorer
Nivel: Unión Europea | Año: 2022 | % Mujeres: 50.39 | % Hombres: 49.61 | Fuente: OCDE Data Explorer
Nivel: Unión Europea | Año: 2023 | % Mujeres: 50.28 | % Hombres: 49.72 | Fuente: OCDE Data Explorer
Nivel: PUCP | Año: 2017 | % Mujeres: 5.88235294117647 | % Hombres: 94.11764706 | Fuente: DTI
Nivel: PUCP | Año: 2018 | % Mujeres: 38.2352941176471 | % Hombres: 61.76470588 | Fuente: DTI
Nivel: PUCP | Año: 2019 | % Mujeres: 40 | % Hombres: 60 | Fuente: DTI
Nivel: PUCP | Año: 2020 | % Mujeres: 30.4347826086957 | % Hombres: 69.56521739 | Fuente: DTI
Nivel: PUCP | Año: 2021 | % Mujeres: 41.304347826087 | % Hombres: 58.69565217 | Fuente: DTI
Nivel: PUCP | Año: 2022 | % Mujeres: 40.4761904761905 | % Hombres: 59.52380952 | Fuente: DTI
Nivel: PUCP | Año: 2023 | % Mujeres: 28.3333333333333 | % Hombres: 71.66666667 | Fuente: DTI
Nivel: Fuente: Los datos para OCDE, UE y Perú son obtenidos de OCDE a través de su portal OCDE Data Explorer. Los datos para la PUCP son obtenidos de DTI-PUCP.
Nivel: Enlace: https://data-explorer.oecd.org/vis?lc=en&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_EAG_UOE_NON_FIN_STUD%40DF_UOE_NF_SHARE_GENDER&df[ag]=OECD.EDU.IMEP&df[vs]=1.0&dq=.ISCED11_5%2BISCED11_6%2BISCED11_7%2BISCED11_8.GRAD.....A...._T..F%2BM.&pd=2013,2024&to[TIME_PERIOD]=false&vw=tb
